"log_id","text","items__positive_prob","items__confidence","items__negative_prob","items__sentiment"
"7358017417485962294","评论","0.465356","0.307124","0.534644","1"
"4967986063139691750","这门课讲的确实不错，我都点怀疑是不是微信小程序团队的开发人员，或者就是赵小龙本人！！！哈哈，点个赞，想学小程序，这门课无疑是最好的选择","0.887944","0.750986","0.112056","2"
"5131672469339143633","老师讲得很细腻，要听完一遍了，感觉老师是在用心教学，他不单单只是为了完成这个课程，更是在给我们讲人生，因为程序或许只是我们生活中的一部分，但是学编程就像是在学生活，bug在鼓励我们不要放弃他，就好像是我们生活的的一些不如意再告诉我们挺过去又是美好的一天。感谢老师对我们的鼓励和教导，给老师点n个赞","0.996579","0.992397","0.00342118","2"
"5546162725742882606","在慕课网看了这么多课程，最喜欢的老师，没有之一，授之以渔，不是授之以鱼。专门买了老师的书，结合起来看，很详细，避免了很多弯路","0.965211","0.922691","0.0347889","2"
"4900411236171595036","课程调理清晰，以实战电影详情及列表页等，让我这个菜鸟也能照着葫芦画个瓢耶！好老师，好课程。老师继续讲课，我还要听。","0.988655","0.97479","0.0113446","2"
"2600240065988993268","一直以来对css的组织及复用感到很头疼，一旦有需求变动总会手动修改不少地方还容易出bug，写vue有一段时间了，总是对组件的抽象和项目的组织不太清晰，总感觉自己做的东西总是需要再优化，听了老师的项目组织思路，对项目的把控更加有心得了，之前也学过老师的es6课程，感觉同样帮帮哒，想能独当一面自己科学完整构建项目的同学不能错过老师的这门课程","0.909525","0.798945","0.0904746","2"
"6784250449486616161","听老师的课程，受益匪浅，满满的干货，从跳槽面试的课程中学习到了很多平时不注意的点，很感谢老师的梳理，打算年后找工作，这门课老师讲的太详细了，听了很多遍，每次收获都不同，从项目构建到上线，模块化开发，这是以前都不怎么关注的，好期待后面的课程。老师热心的指导，群里小伙伴很积极，能学到很多知识，支持支持，赞赞！","0.999359","0.998575","0.00064123","2"
"692209952026579332","做前端也有段时间了, css这块一直觉得没什么可提升的，但是看了老师的课程，对css这块有了新的了解，更深的认识，模块化的css可以让代码更精简，更灵活，这门课真的挺值。尤其是第三章和第四章，这两章节融合了老师多年的工作经验，老师把自己对整个项目架构的分析，模块化要注意到的点都很详细都告诉给大家，这些平时可不会有人来跟我们说这些，当然，后面章节更精彩，小伙伴们别犹豫啦，赶快来学习吧！","0.982975","0.962166","0.0170253","2"
"3384366390382915897","课程很棒，听完后受益匪浅，对组件化又有了新的认识，正在用学到的知识修改以前的项目，写起来效率确实高了很多。","0.993738","0.986085","0.00626157","2"
"7176583373243453706","之前听了老师的前段跳槽面试技巧那门课，觉得受益颇多，满满的干活","0.695504","0.323342","0.304496","2"
"2033861296348239242","来慕课不长时间，第一次花钱买的就是老师的课，当时自己还在为面试苦恼，怎么自己实力这么差，面一个挂一个，看完老师的课程，才发现面试有这么多学问，这次老师出的新课，毫不犹豫就买了下来了（虽然还是个穷学生，虽然我是react的忠实有拥护者，但是还是买了，不为别的就是信任老师，哈哈，老师的水平可是杠杠滴^_^），刚看了不多，但是收获很多呀，比如：以前觉得css就是那么回事，但是听了课以后又对css有了一次新的认识，这就像一团乱麻，让你抓住了一个关键的头，你通过这个头所有的理顺，而且老师经常在群里和小伙伴们交流，特别亲切，等我毕业一定要找个机会和老师面基^_^哈哈希望老师不要嫌弃，不多说了，学习去了","0.987377","0.971949","0.012623","2"
"1162676527403951439","老师讲的很好，学习路线明确，由浅入深，逻辑清晰，不仅讲述各个知识点，而且讲解知识点原理和解决问题的方法，再启发学生去思考，随着小程序版本的更新而更新，在原来的视频里作了补充说明，还另外把Q&A发表在知乎，在博客上补充发表相关文章，开设微信公众号，为同学们解惑。而且老师自己也不断在学习钻研。很赞！我感觉是至今以来遇到对课程和学生最负责的IT老师。能遇到七月这样的好老师感到很幸运。确实是师者：传道，授业，解惑也。学完这一课程后。我将继续学下一小程序开发商城的课程。感谢老师！祝福老师！","0.999102","0.998003","0.000898506","2"
"7487966301191040558","前几章我都有跟着视频敲代码，这样可以开发工具和一些代码规范。后面几章直接学习老师的思想逻辑和解决问题的方法。我觉得这样入门要快一些。然后用学到的东西做个demo，可以学到新的东西。最后表示，用1.5倍或1.7倍的播放速度来学习后面的课程也不错。感谢老师！","0.979111","0.953579","0.0208893","2"
"3310471754520487781","老师讲的很棒,有点后悔现在才来学这个课程,里面的知识点面面俱到,还帮你扩充了前端需要理解的一些概念,真的是非常用心的去做一门课程.不仅讲的非常清晰细腻,还有一些深度.真的很喜欢七月老师","0.99212","0.98249","0.00787958","2"
"4984395984252361662","老师讲的非常好 但是 有没有群可以加一下 因为有时候自己做还是会出现问题 版本更新了啊 之类的 会报错不知道错在哪里 有群的话请告知一下","0.897498","0.772218","0.102502","2"
"7285603500246407382","觉得不错，如果声音录制能更专业就更好了，，","0.745212","0.433804","0.254788","2"
"174770223986699125","这视频真的很棒，不知道老师有没有兴趣和时间再出一套关于vue的视频，非常想要听老师讲解vue","0.913951","0.80878","0.0860489","2"
"1978028344951507695","无可挑剔，如果老师的语速再稍微慢一点就更好了，哈哈哈哈","0.895987","0.768859","0.104013","2"
"5311733520426452016","老师讲的非常的详细，通俗易懂，学习起来感觉好轻松，棒棒地，老师辛苦啦！","0.984417","0.965372","0.0155827","2"
"346714707251074714","刚刚看完，老师讲的很好呢，也算是入门了，嗨皮~","0.961739","0.914976","0.038261","2"
"5816507494045138492","老师讲的非常的详细，通俗易懂，学习起来感觉好轻松，帮帮地，老师辛苦啦！","0.978495","0.952211","0.0215048","2"
"8994226690636801827","很不错的课程，老师讲的也很详细，对于我这种小白还是很合适的","0.997037","0.993416","0.00296266","2"
"5511288480141287918","非常很好，简单通俗易懂","0.945433","0.87874","0.054567","2"
"5709368344542287031","很棒的课程！","0.971948","0.937663","0.0280516","2"
"336358882387628194","很满意","0.920483","0.823295","0.0795171","2"
"4530901421171695965","非常棒，非常认真负责的老师，满分！","0.998368","0.996374","0.00163185","2"
"3560699497797148340","之前听了老师的前端跳槽面试技巧那门课，觉得受益颇多，基于对老师的认可，买了这门课，果然，又学到了很多东西，一如既往的好。老师讲课思路清晰，干货满满。希望老师能一如既往的推出更有价值的课程。我还会支持的。","0.998806","0.997346","0.00119444","2"
"2964375295173392925","老师讲的非常棒！看完之后会对CSS、JS组件化开发有个更深刻的理解。我非常期待后面章节，满满的干货~","0.995875","0.990834","0.0041249","2"
"796120141757165612","之前买了老师《前端跳槽面试技巧》这门课，当时还犹豫要不要买，但停下来之后发现物超所值，干货满满！所以这次老师新出的课程也毫不犹豫的购买了！听老师的课总能感觉把自己遗漏的知识重新梳理起来，使我对前端的知识体系有了更清晰的架构和更明确的学习方向，老师讲课也是字正腔圆，节奏把握的非常到位，跟着老师的思路，听老师的语调和语速就可以知道哪里是重点哪里是难点，而且老师解释的也非常到位。希望自己的技能再提升一个档次！","0.99216","0.982577","0.00784037","2"
"7751879642703076769","因为之前听了老师其他课程，基于对老师的认可，和现在我的需要，毫不犹豫就购买了组件化的课程。老师讲课思路非常清晰，重点到位。听了一部分了，感觉系统学习了组件化知识，还有老师自己的内功。课程加上老师后期的维护，价值远远超过了课程的价格。我根据老师的课程又修改了自己的项目，对组件化有了更深的认识。","0.992029","0.982286","0.00797149","2"
"3466364215092373043","老师的铁粉啦，学完es6、前端面试技巧来学这个，这门课主讲组件化思维与技巧，使用vue2.5 来实现的京东金融实战项目，能学到组件化开发以及webpack工具的使用等等，是物超所值的，买来用于工作之余的知识补充！","0.996412","0.992026","0.00358821","2"
"2432036077694083695","干货满满，前端技术热点都有涉及。学习组件化必备，从原理到实现全解析，实用性极强。","0.958862","0.908581","0.0411385","2"
"673503770860135892","课程讲的非常的有趣，配合流程图，思路很清晰，最重要的是老师人很认真，课下和老师请教了很多东西，感觉真的学到东西了，准备做一些小制作","0.97741","0.9498","0.0225901","2"
"5705104125644658316","我之前就一培训班出来的,工作经验就3月,老师这门课程让我找到了更好的工作,然后现在vue已经会用的差不多了,现在已经是公司的主力前端了.我觉得老师这个课程真的太好了,不仅学会了vue,更多的是思路方法,组件的复用,方法的思路,封装,都很有价值. 同时老师讲的stylus,flex布局等,移动端适配,1px边框,ticky footer布局,css3动画,better-scroll等都很有帮助.这些都是培训班不会教的.现在前端真的很难找工作,拿这个能秒掉不少培训的了","0.905684","0.79041","0.0943156","2"
"4766491678091002291","老师讲得很好，通俗易懂，一听就懂，视频我看到79%就接到一单2w的单了，项目用到vue组件化开发方式，让我开发效率大大提高，我也深深体会了数据驱动的厉害之处；利用晚上时间，一个月就完成任务了。必须5※好评啊！感谢老师，感谢慕课网，200 换2w  值了！！","0.996616","0.99248","0.00338412","2"
"2200617363556577003","这课程是带领屌丝逆袭的好课程，比其他网站的实战课程好太多了， 反正跟着做下来感觉到的是在舒服的环境下完成艰难的学习，必须点赞","0.975622","0.945827","0.0243781","2"
"7267316632899513581","尽管代码是1.0的，但是配合官方文档还是很容易直接用2.0开发的，这门课程关于VUE的内容都比较基础，非常适合以前没有接触过VUE的人用作入门，关于APP端的CSS布局也讲的非常细致，以前我没有接触过APP，买这门课程主要也是想在APP端有所突破，收获很大，有些章节适合反复看，不仅要做到看懂，会敲代码，更需要理解老师的思路，做到举一反三，better-scroll这个插件非常好用，以前在PC端用过bootstrap实现类似效果，也用jQ自己封装过组件，但是从代码量和难易程度来看，无疑better-scroll完胜，准备再从头看一遍后就转战音乐APP，非常感谢黄老师的分享，课程绝对物超所值","0.991964","0.982143","0.00803573","2"
"7206367551213700493","不能打11分，差评。这课程实在是太好了，讲得相当详细，最主要还是开发的思想，业务逻辑和结构上都非常棒。老师上次的饿了吗也买过，也是相当好的，这次的就更完整了。唯一就是在手机上运行会卡顿，不知道是不是我手机的问题，性能不够。但毕竟也只是比较大","0.84313","0.651401","0.15687","2"
"3365986030989591957","很好的课程，就是有点老了","0.901615","0.781366","0.0983853","2"
"8069636648808506933","很实用的教程，重点是老师很贴心的给配置好了环境","0.992111","0.982468","0.00788941","2"
"2950586872707441612","老师讲的通俗易懂，在学习的过程中可以感受到老师很用心的在做课程，而且在群里感觉老师非常热情和客气","0.978487","0.952194","0.0215128","2"
